timestamp,data_state,num_samples,seed,label,feature,weight,rank
2026-03-02 09:04:47,noisy,5000,,2,this,0.26269970849137575,1
2026-03-02 09:04:47,noisy,5000,,2,event,0.24125531463433453,2
2026-03-02 09:04:47,noisy,5000,,2,moment,0.22704748240823702,3
2026-03-02 09:04:47,noisy,5000,,2,wlel,0.1567980006692673,4
2026-03-02 09:04:47,noisy,5000,,2,fitsnatac,0.13776594260952427,5
2026-03-02 09:04:47,noisy,5000,,2,evrey,0.12912819209146373,6
2026-03-02 09:04:47,noisy,5000,,2,were,-0.12214731330631037,7
2026-03-02 09:04:47,noisy,5000,,2,a,-0.11956822931462105,8
2026-03-02 09:04:47,noisy,5000,,2,was,-0.11897786161360373,9
2026-03-02 09:04:47,noisy,5000,,2,It,-0.09854569287967573,10
2026-03-02 09:05:53,noisy,5000,7,2,this,0.2515414445539486,1
2026-03-02 09:05:53,noisy,5000,7,2,event,0.2506917670353708,2
2026-03-02 09:05:53,noisy,5000,7,2,moment,0.2275846307728011,3
2026-03-02 09:05:53,noisy,5000,7,2,wlel,0.17059901477533437,4
2026-03-02 09:05:53,noisy,5000,7,2,fitsnatac,0.14128704979983553,5
2026-03-02 09:05:53,noisy,5000,7,2,was,-0.13389178049241543,6
2026-03-02 09:05:53,noisy,5000,7,2,I,-0.12385206079537217,7
2026-03-02 09:05:53,noisy,5000,7,2,evrey,0.123102310716325,8
2026-03-02 09:05:53,noisy,5000,7,2,were,-0.11150492907991714,9
2026-03-02 09:05:53,noisy,5000,7,2,a,-0.0975953346385923,10
2026-03-02 09:07:22,noisy,5000,42,2,this,0.26433233240637194,1
2026-03-02 09:07:22,noisy,5000,42,2,event,0.23496427690076102,2
2026-03-02 09:07:22,noisy,5000,42,2,moment,0.21523025990501932,3
2026-03-02 09:07:22,noisy,5000,42,2,wlel,0.15346372584913187,4
2026-03-02 09:07:22,noisy,5000,42,2,was,-0.14465945487142404,5
2026-03-02 09:07:22,noisy,5000,42,2,evrey,0.1422371245979829,6
2026-03-02 09:07:22,noisy,5000,42,2,were,-0.13783388820280115,7
2026-03-02 09:07:22,noisy,5000,42,2,fitsnatac,0.135617077321742,8
2026-03-02 09:07:22,noisy,5000,42,2,I,-0.11745584668233135,9
2026-03-02 09:07:22,noisy,5000,42,2,a,-0.09206475757879852,10
2026-03-02 09:08:01,noisy,5000,220,2,this,0.25627601997912697,1
2026-03-02 09:08:01,noisy,5000,220,2,event,0.23542821969661668,2
2026-03-02 09:08:01,noisy,5000,220,2,moment,0.2140382662516546,3
2026-03-02 09:08:01,noisy,5000,220,2,wlel,0.15273470324203375,4
2026-03-02 09:08:01,noisy,5000,220,2,evrey,0.1246849116582051,5
2026-03-02 09:08:01,noisy,5000,220,2,fitsnatac,0.12034575022616213,6
2026-03-02 09:08:01,noisy,5000,220,2,I,-0.11599964960757586,7
2026-03-02 09:08:01,noisy,5000,220,2,was,-0.11504990826151892,8
2026-03-02 09:08:01,noisy,5000,220,2,were,-0.10994662386284548,9
2026-03-02 09:08:01,noisy,5000,220,2,a,-0.10865638887366381,10
2026-03-02 09:08:33,noisy,5000,900,2,this,0.25630754380231857,1
2026-03-02 09:08:33,noisy,5000,900,2,event,0.23709313015864314,2
2026-03-02 09:08:33,noisy,5000,900,2,moment,0.21457417305665752,3
2026-03-02 09:08:33,noisy,5000,900,2,wlel,0.15723031606443222,4
2026-03-02 09:08:33,noisy,5000,900,2,evrey,0.14761308042719395,5
2026-03-02 09:08:33,noisy,5000,900,2,I,-0.12256923039140882,6
2026-03-02 09:08:33,noisy,5000,900,2,was,-0.12253359635403868,7
2026-03-02 09:08:33,noisy,5000,900,2,fitsnatac,0.1218398536236351,8
2026-03-02 09:08:33,noisy,5000,900,2,were,-0.11678935726399131,9
2026-03-02 09:08:33,noisy,5000,900,2,a,-0.10002262143981042,10
